sender,receiver,date,location,identifier
Clara L. Clemens,Muriel M. Pears,29 June 1908,London, England,UCCL08043 CtY
Albert Bigelow Paine for SLC,Dorothy Quick (3rd of 3),29 June 1908,Boston, Mass,UCCL12072 CU-MARK 2022
Albert Bigelow Paine for SLC,Dorothy Quick (1st of 3),29 June 1908,Boston, Mass,UCCL08047 CU-MARK 2022
Albert Bigelow Paine for SLC,Dorothy Quick per Telegraph Operator (2nd of 3),29 June 1908,Boston, Mass,UCCL08044 CU-MARK 2022
Jean Clemens,Nancy D. Brush,July 1908,Gloucester, Mass,UCCL09072 DSI
SLC,Jean L. Clemens,2 July 1908,Redding, Conn,UCCL08051 CLjC , CU-MARK 2024
SLC,Dorothy Quick,2 July 1908,Redding, Conn,UCCL08050 CU-MARK
SLC,John M. Howells,3 July 1908,Redding, Conn,UCCL08899 DLC
SLC,Dorothy Sturgis,5–14 July 1908,Redding, Conn,UCCL08048 NNC
SLC,Collier’s Weekly,6 July 1908,Redding, Conn,UCCL08053 2014
SLC per Ralph W. Ashcroft,James A. Renwick,6 July 1908,Redding, Conn,UCCL08052 CU-MARK
SLC,Unidentified,7 July 1908,Unknown place,UCCL13729
SLC,Margery H. Clinton,7 July 1908,Redding, Conn,UCCL11240 NPV
SLC,Margaret Blackmer,7 July 1908,Redding, Conn,UCCL08049 CtY-BR
Jean Clemens,Nancy D. Brush,8 July 1908,Gloucester, Mass,UCCL08054 DSI
SLC,Mary B. Rogers,13 July 1908,Redding, Conn,UCCL08068 NNC
SLC,Arno Umbstaetter and Elizabeth Atwood,15 July 1908,Redding, Conn,UCCL13512
SLC,Clara L. Clemens,18 July 1908,Redding, Conn,UCCL08055 CSmH
SLC,Edward Verrall Lucas,20 July 1908,Redding, Conn,UCCL08056 CU-MARK
SLC,William D. Howells,22 July 1908,Redding, Conn,UCCL08057 MH-H
SLC,Margery H. Clinton,22 July 1908,Redding, Conn,UCCL11279 NPV
Jean Clemens,Nancy D. Brush,23 July 1908,Gloucester, Mass,UCCL08059 DSI
SLC,Dorothy Quick,26 July 1908,Redding, Conn,UCCL08060 CU-MARK
SLC,Mai H. Coe,27 July 1908,Redding, Conn,UCCL08061 CtHMTH
SLC,Jean Clemens,28 July 1908,Redding, Conn,UCCL08062 CLjC
SLC,Frances Nunnally,29 July 1908,Redding, Conn,UCCL08063 CSmH
SLC,Joseph T. Goodman,30 July 1908,Redding, Conn,UCCL08064 C4
SLC,George B. M. Harvey,30 July 1908,Redding, Conn,UCCL08065 C4 2023
SLC,Clara L. Clemens,30 July 1908,Redding, Conn,UCCL08066 C4 2023
SLC and Jean Clemens,Regina Armstrong Niehaus,August 1908,Redding, Conn,UCCL11415 CU-MARK
SLC,Unidentified,August 1908,Unknown place,UCCL12855
SLC,Jeannette Cholmeley-Jones,August 1908,Redding, Conn,UCCL11217 ODa2
SLC,Anna Frank,August 1908,Redding, Conn,UCCL13739 2018
SLC and Jean Clemens,Etta R. Willson,August 1908,Redding, Conn,UCCL12503
Jean Clemens,Nancy D. Brush,1 August 1908,Gloucester, Mass,UCCL08071 DSI
Jean Clemens,Isabel V. Lyon,1 August 1908,Gloucester, Mass,UCCL08070 CU-MARK
SLC,James M. Barrie,August 1908,Redding, Conn,UCCL12456 CtY-BR 2024
SLC and Jean Clemens,Frances Serrill Knowles,August–September 1908,Redding, Conn,UCCL12981
SLC,Mary E. Moffett,2 August 1908,Redding, Conn,UCCL08072 CU-MARK
SLC,Louise Paine,2 August 1908,Redding, Conn,UCCL12986 CU-MARK 2022
SLC,Louise Paine,2 August 1908,Redding, Conn,UCCL12985 CU-MARK
SLC,Charles M. Fairbanks,2 August 1908,Redding, Conn,UCCL05736 CtHMTH
SLC,Dorothy Sturgis,3 August 1908,Redding, Conn,UCCL08073 NNC
SLC per Robert Collier,Accident Insurance Co.,4 August 1908,New York, N.Y,UCCL08067 CU-MARK
Jean Clemens,Isabel V. Lyon,4 August 1908,Gloucester, Mass,UCCL08074 CU-MARK
Jean Clemens,Isabel V. Lyon,5 August 1908,Gloucester, Mass,UCCL08075 CU-MARK
SLC,Emilie R. Rogers,6 August 1908,Redding, Conn,UCCL08076 Salm
SLC,Jean Clemens,9 August 1908,Redding, Conn,UCCL08077 CLjC
Jean Clemens,Nancy D. Brush,9 August 1908,Gloucester, Mass,UCCL08078 DSI
SLC,George B. Harvey,10 August 1908,Redding, Conn,UCCL08079 MH-H
SLC,Dorothy Quick,10 August 1908,Redding, Conn,UCCL08080 CU-MARK
SLC per Isabel V. Lyon,Unidentified,11 August 1908,Redding, Conn,UCCL08081 CU-MARK
SLC,William D. Howells,12 August 1908,Redding, Conn,UCCL08284 NN-BGC
SLC,Susan L. Crane,12 August 1908,Redding, Conn,UCCL08083 CU-MARK
SLC,Emilie R. Rogers,12 August 1908,Redding, Conn,UCCL12322
SLC,Dorothy Quick,12 August 1908,Redding, Conn,UCCL08082 CU-MARK
SLC,Margaret Blackmer,13 August 1908,Redding, Conn,UCCL08084 CtY-BR
SLC,Helen S. Allen,13 August 1908,Redding, Conn,UCCL11334 BmuHA
SLC per Isabel V. Lyon,Katharine B. Clemens,13 August 1908,Redding, Conn,UCCL08900 CtHMTH
Clara L. Clemens,SLC,14 August 1908,Cronenberg, Germany,UCCL08085 CU-MARK
SLC,W. H. Watts,15 August 1908,Redding, Conn,UCCL08086 NN 2023
SLC,Dorothy Sturgis,15 August 1908,Redding, Conn,UCCL08087 NNC
Clara L. Clemens,Mary E. Moffett,15 August 1908,Cronenberg, Germany,UCCL08088 CU-MARK
SLC,Mary B. Rogers,17 August 1908,Redding, Conn,UCCL08069 NNC
Isabel V. Lyon,Harriet E. Whitmore,17 August 1908,Redding, Conn,UCCL10969 CtHMTH
SLC,Margery H. Clinton,18 August 1908,Redding, Conn,UCCL11306 CU-MARK
SLC per Isabel V. Lyon,George B. Harvey,19 August 1908,Redding, Conn,UCCL11255 CU-MARK
SLC per Isabel V. Lyon,Katharine B. Clemens,20 August 1908,Redding, Conn,UCCL08901 CtHMTH
SLC,H. J. Learoyd and New York Evening Post,25 August 1908,Redding, Conn,UCCL08091 CU-MARK
Clara L. Clemens,SLC,26 August 1908,Cronenberg, Germany,UCCL08095 CU-MARK
Jean Clemens,Nancy D. Brush,27 August 1908,Gloucester, Mass,UCCL08094 DSI
SLC per IVL,William Allen,27–28 August 1908,Redding, Conn,UCCL14099 CU-MARK 2024
SLC,Henry W. Ruoff,28 August 1908,Redding, Conn,UCCL08093 CU-MARK
SLC,Fred V. Christ,28 August 1908,Redding, Conn,UCCL08092 CtY-BR CU-MARK
SLC,Isabel S. Wayland,2 September 1908,Redding, Conn,UCCL12712 InFw2
SLC,James R. Clemens,3 September 1908,Redding, Conn,UCCL08902 CtHMTH
SLC,Dorothy Quick,3 September 1908,Redding, Conn,UCCL08100 CU-MARK
Jean Clemens,Nancy D. Brush,10 September 1908,Gloucester, Mass,UCCL08101 DSI
SLC,Charles G. Norris,17 September 1908,Redding, Conn,UCCL08285 NN-BGC
SLC,Theodore A. Bingham,18 September 1908,Redding, Conn,UCCL08098 CU-MARK
SLC,Next Burglar,18 September 1908,Redding, Conn,UCCL08102 NN-BGC
SLC,Margaret Blackmer,18 September 1908,Redding, Conn,UCCL08106 CtY-BR
SLC,Frances Nunnally,18 September 1908,Redding, Conn,UCCL08103 CSmH
SLC,Dorothy Quick,18 September 1908,Redding, Conn,UCCL08105 CU-MARK
Jean Clemens,Isabel V. Lyon,18 September 1908,Gloucester, Mass,UCCL08107 CU-MARK
SLC,Melville E. Stone,19 September 1908,Redding, Conn,UCCL08097 InU-Li
SLC,Marjorie Breckenridge,19 September 1908,New York, N.Y,UCCL07980 MiK2
Clara L. Clemens,Dorothea Gilder,19 September 1908,Redding, Conn,UCCL12062
Jean Clemens,Clara L. Clemens,21 September 1908,Gloucester, Mass,UCCL08108 CU-MARK
SLC,Helen K. Blackmer,22 September 1908,Redding, Conn,UCCL08109 CU-MARK
Jean Clemens,Isabel V. Lyon,22 September 1908,New York, N.Y,UCCL08110 CU-MARK
SLC,William D. Howells,24 September 1908,Redding, Conn,UCCL08111 MH-H
SLC,Unidentified,24 September 1908,Redding, Conn,UCCL12237 Ct4
SLC,Marguerite Schmitt,24 September 1908,Redding, Conn,UCCL09384 ODa2
SLC,Louise Paine,30 September 1908,Redding, Conn,UCCL08112 CtRe
SLC,Dorothy Sturgis,30 September 1908,Redding, Conn,UCCL08113 NNC
Jean Clemens,SLC,30 September 1908,SS Pretoria,UCCL08114 CU-MARK
SLC,Miss Shaw,October 1908,Redding, Conn,UCCL13733
SLC,Frederic Bulkeley Hyde,October 1908,Redding, Conn,UCCL12542
SLC,Amelia Dunne Hookway,October 1908,Redding, Conn,UCCL08096 CLjC , CU-MARK
SLC,John Henniker-Heaton,1 October 1908,Redding, Conn,UCCL08117 CU-MARK
Jean Clemens,SLC,1 October 1908,Cuxhaven, Germany,UCCL08115 CU-MARK
SLC,Unaddressed,October–December 1910,Unknown place,UCCL12577
SLC,Mabel L. Patterson,2 October 1908,Redding, Conn,UCCL08119
SLC,Jean Clemens,2 October 1908,Redding, Conn,UCCL08118 CLjC
SLC,Francis Wilson,3 October 1908,Redding, Conn,UCCL08116
Ralph W. Ashcroft,Archibald Henderson,3 October 1908,Redding, Conn,UCCL08120 NmA2
Isabel V. Lyon for SLC,L. M. Montgomery,3 October 1908,Redding, Conn,UCCL11997 CaOGU
SLC,Clara L. Clemens,6 October 1908,Redding, Conn,UCCL08121 CtHMTH
SLC,Margaret Blackmer,6–9 October 1908,Redding, Conn,UCCL08123 CtY-BR
SLC,Unidentified,7 October 1908,Redding, Conn,UCCL11162
SLC,Philip N. Sunderland,7 October 1908,Redding, Conn,UCCL10861
SLC,Marjorie Breckenridge,7 October 1908,Redding, Conn,UCCL08126 MiK2
SLC,John E. Wayland,7 October 1908,Redding, Conn,UCCL10517 InFw2 2011
SLC,Helen S. Allen,7 October 1908,Redding, Conn,UCCL11782 BmuHA
SLC,Harriet W. Enders,7 October 1908,Redding, Conn,UCCL11004 CtHMTH
SLC,Emilie R. Rogers,7 October 1908,Redding, Conn,UCCL08128 MFai
SLC,Dorothy Quick,7 October 1908,Redding, Conn,UCCL08125 CU-MARK
SLC,Albert Bigelow Paine,7 October 1908,Redding, Conn,UCCL10515
SLC per Isabel V. Lyon,Maud W. Littleton,8 October 1908,Redding, Conn,UCCL08129 CU-MARK
Jean Clemens,Isabel V. Lyon,8 October 1908,SS Postdampfers,UCCL08130 CU-MARK
SLC,Ralph W. Ashcroft,10 October 1908,Redding, Conn,UCCL10824 InU-Li
Jean Clemens,Isabel V. Lyon,10 October 1908,Hamburg, Germany,UCCL10163 CU-MARK
Isabel V. Lyon for SLC,Laura H. Frazer,10 October 1908,Redding, Conn,UCCL11251 MoFuWC
SLC,Frances Nunnally,10–12 October 1908,Redding, Conn,UCCL08133 CSmH
SLC,Nicholas M. Butler,12 October 1908,Redding, Conn,UCCL08135 CU-MARK
SLC,Jean Clemens,12 October 1908,Redding, Conn,UCCL08136 CU-MARK
SLC,Emilie R. Rogers,12 October 1908,Redding, Conn,UCCL08137 MFai
SLC,Margaret Blackmer,14 October 1908,Redding, Conn,UCCL08127 CtY-BR
SLC,Laura H. Frazer,14 October 1908,Redding, Conn,UCCL09536 MoFlM
SLC,Georgia C. Taylor,15 October 1908,Redding, Conn,UCCL11708 CU-MARK
SLC,Muriel Walter Dyer,17–20 October 1908,Redding, Conn,UCCL12437 2023
Ralph W. Ashcroft,Archibald Henderson,19 October 1908,Redding, Conn,UCCL08139 NmA2
Jean Clemens,Isabel V. Lyon,19 October 1908,Berlin, Germany,UCCL08138 CU-MARK
Jean Clemens,Isabel V. Lyon,20 October 1908,Berlin, Germany,UCCL08140 CU-MARK
Clara L. Clemens,Mason & Hamlin,21 October 1908,Unknown place,UCCL11360
SLC,Clara L. Clemens,22–23 October 1908,Deal, N.J,UCCL04132 Axelrod
SLC,Jean Clemens,23 October 1908,Deal, N.J,UCCL08141 NN-BGC
SLC,Emilie R. Rogers,24 October 1908,Redding, Conn,UCCL08142 MFai
SLC,Margaret Blackmer,24–29 October 1908,Redding, Conn,UCCL08143 CtY-BR
SLC,Frances Nunnally,24–31 October 1908,Redding, Conn,UCCL08144 CSmH
SLC,William D. Howells,26 October 1908,Redding, Conn,UCCL08145 NAlf
SLC,Dorothy Sturgis,27 October 1908,Redding, Conn,UCCL08146 NNC
Jean Clemens,Isabel V. Lyon,27 October 1908,Berlin, Germany,UCCL08147 CU-MARK
SLC,William W. Jacobs,28 October 1908,Redding, Conn,UCCL08148
SLC,Margery H. Clinton,30 October 1908,Redding, Conn,UCCL08150 Axelrod
SLC,Dorothy Harvey,30 October 1908,Redding, Conn,UCCL08149 CU-MARK
SLC,Miss Davies,31 October 1908,Redding, Conn,UCCL12600
SLC,Margaret Blackmer,1 November 1908,Redding, Conn,UCCL08152 CU-MARK
SLC,Frances Nunnally,1 November 1908,Redding, Conn,UCCL08287 NN-BGC
SLC,Mai H. Coe,3 November 1908,Redding, Conn,UCCL09217 CtHMTH
SLC,Louise Paine,4 November 1908,Redding, Conn,UCCL08151 Me4
SLC,Laura H. Frazer,4 November 1908,Redding, Conn,UCCL08154
SLC,Jean Clemens,4 November 1908,Redding, Conn,UCCL08153 NN-BGC
SLC,Dora Duty Jones,4 November 1908,Redding, Conn,UCCL13889 2023
SLC,Pilgrims President,5 November 1908,Redding, Conn,UCCL08156 InU-Li
SLC,Dorothy Quick,5 November 1908,Redding, Conn,UCCL08155 CU-MARK
SLC,Redding Court,6 November 1908,Redding, Conn,UCCL08288 NN-BGC
SLC,J. F. Phayre,6 November 1908,Redding, Conn,UCCL08158 CU-MARK 2015
SLC,Frederick A. Duneka,7 November 1908,Redding, Conn,UCCL09778
SLC,Margaret Blackmer,14 November 1908,Redding, Conn,UCCL09266 NN-BGC 2009
SLC,Helen Keller,14 November 1908,Redding, Conn,UCCL10684 NNAF
SLC,Helen Keller,14 November 1908,Redding, Conn,UCCL08159 NNPM
SLC,Champ Clark,15 November 1908,Redding, Conn,UCCL11687 MoHM
SLC,Zoheth S. Freeman,16 November 1908,Redding, Conn,UCCL08160 Axelrod
SLC,Margery H. Clinton,16–21 November 1908,Redding, Conn,UCCL11245 NPV
SLC,Mary M. Harmsworth,21 November 1908,Unknown place,UCCL09385
SLC per Isabel V. Lyon,Helen Keller,22 November 1908,Redding, Conn,UCCL10683 NNAF
SLC,William D. Howells,23 November 1908,Redding, Conn,UCCL08161 MH-H
SLC,Unidentified,23 November 1908,Redding, Conn,UCCL09666
SLC,Emilie R. Rogers,23 November 1908,Redding, Conn,UCCL08162 MFai
SLC,Margery H. Clinton,25 November 1908,Redding, Conn,UCCL11282 NPV
Isabel V. Lyon for SLC,Charles A. Ellicock and Mark Twain Club,25 November 1908,Redding, Conn,UCCL12307 CU-MARK
SLC,William Ireland Starr,29 November 1908,Redding, Conn,UCCL10790 CtY-BR
SLC,Unidentified,30 November 1908,Redding, Conn,UCCL08164 CU-MARK 2023
SLC,Jean Clemens,30 November 1908,Redding, Conn,UCCL08289 NN-BGC
SLC,H. P. Wood,30 November 1908,Redding, Conn,UCCL08165
SLC,Frederick A. Duneka,30 November 1908,Redding, Conn,UCCL08282 NN-BGC
SLC,F. N. Otremba,30 November 1908,Redding, Conn,UCCL08163 WU-MU
SLC,Elizabeth Wallace,30 November 1908,Redding, Conn,UCCL11506
SLC,Jeannette L. Gilder,Late December 1908,Redding, Conn,UCCL13153
SLC,Marjorie Breckenridge,1 December 1908,Redding, Conn,UCCL08167 MiK2
SLC,Edward Quintard,1 December 1908,Redding, Conn,UCCL12390 MoHH
SLC,Elizabeth Jordan,4 December 1908,Redding, Conn,UCCL08169 CU-MARK
SLC,Martin W. Littleton,6 December 1908,Redding, Conn,UCCL08171 NElmC
SLC,Margaret Blackmer,6 December 1908,Redding, Conn,UCCL07372 CtY-BR
SLC,Dorothy Sturgis,6 December 1908,Redding, Conn,UCCL08170 NNC
SLC per Isabel V. Lyon,Nettie Brockley,7–10 December 1908,Redding, Conn,UCCL08166 CU-MARK
SLC,Frances Nunnally,9 December 1908,Redding, Conn,UCCL11744 CSmH
SLC,Frances Nunnally,9 December 1908,Redding, Conn,UCCL08174 CSmH
SLC per Isabel V. Lyon,Valdemar Thoresen,9 December 1908,Redding, Conn,UCCL08173
SLC per Isabel V. Lyon,Charles H. Clark,9 December 1908,Redding, Conn,UCCL08168 CU-MARK
SLC,Dorothy Quick,10 December 1908,Redding, Conn,UCCL08175 CU-MARK
SLC,Clara L. Clemens,11 December 1908,Redding, Conn,UCCL08179 MoHM
SLC,Champ Clark,11 December 1908,Redding, Conn,UCCL11688 MoHM
Jean Clemens,Isabel V. Lyon,11 December 1908,Berlin, Germany,UCCL08178 CU-MARK
SLC,Charles J. Langdon,12 December 1908,Redding, Conn,UCCL08180 CtHMTH
SLC,Jean Clemens,17 December 1908,Redding, Conn,UCCL08182 CU-MARK
SLC,Julia Parish Dodge,19 December 1908,Redding, Conn,UCCL13870
SLC,Henry H. Rogers,19 December 1908,Redding, Conn,UCCL08185 Salm
SLC,Charles T. Werner,19 December 1908,Redding, Conn,UCCL12612
SLC,Margaret Blackmer,20–21 December 1908,Redding, Conn,UCCL08134 CtY-BR
SLC,Margery H. Clinton,20–24 December 1908,Redding, Conn,UCCL11305 NPV
SLC,Laura H. Frazer and Clara Frazer,20–24 December 1908,Redding, Conn,UCCL09537
SLC,Dorothy Quick,20–24 December 1908,Redding, Conn,UCCL08503 CU-MARK
SLC,Archibald Henderson,21 December 1908,Redding, Conn,UCCL11526 CLjC
SLC,Richard R. Bowker,22 December 1908,Redding, Conn,UCCL08186 NN
SLC,George Bernard Shaw,22 December 1908,Redding, Conn,UCCL12579 Uk
SLC,Charles C. Clarke,22 December 1908,Redding, Conn,UCCL11691
SLC,L. M. Powers,23 December 1908,Redding, Conn,UCCL08177 CU-MARK
SLC,Ossip Gabrilowitsch,24 December 1908,Redding, Conn,UCCL09386
SLC,William R. Coe,25 December 1908,Redding, Conn,UCCL10379 2015
SLC,Harriet W. Enders,25 December 1908,Redding, Conn,UCCL08188 CtHMTH
SLC,Harriet E. Whitmore,25 December 1908,Redding, Conn,UCCL08187 CtHMTH
SLC,Dorothy Butes,25 December 1908,Redding, Conn,UCCL12432
SLC,Clara L. Spaulding,25 December 1908,Redding, Connecticut,UCCL13071
SLC,Dorothy Sturgis,26 December 1908,Redding, Conn,UCCL08189 NNC
SLC per Isabel V. Lyon,Philip N. Sunderland,26 December 1908,Redding, Conn,UCCL08191
SLC,Red Cross Committee,28 December 1908,Redding, Conn,UCCL09171
SLC,Ragnvald Blix,28 December 1908,Redding, Conn,UCCL12496
SLC,Frances Nunnally,29 December 1908,Redding, Conn,UCCL08196 CSmH
SLC,Frederick A. Duneka,30 December 1908,Redding, Conn,UCCL08290 NN-BGC
SLC,Elizabeth A. Alexander,30 December 1908,Redding, Conn,UCCL08192 NjP
SLC,Isabel V. Lyon,Unknown date,Unknown place,UCCL09980
SLC,Elizabeth,1908,Unknown place,UCCL14144 CtRe 2025
SLC,Elizabeth Wallace,24 February 1908,Hamilton, Bermuda,UCCL13607
SLC,Brander Matthews,Unknown date,New York, N.Y,UCCL07907 NNC
SLC,Beatrice A. Beard,Unknown date,Unknown place,UCCL09380
SLC,Gertrude Natkin,31 December 1908,Redding, Conn,UCCL08193 CU-MARK
SLC,Elizabeth Jordan,1 January 1909,Redding, Conn,UCCL08194 NN
SLC,Dorothy Quick,1 January 1909,Redding, Conn,UCCL08746 CU-MARK
Isabel V. Lyon for SLC,Clara Frazer,1 January 1909,Redding, Conn,UCCL11254 MoFuWC
Jean Clemens,Marguerite Schmitt,January–February 1909,Unknown place,UCCL08300 NmA2
SLC,Jean Clemens,2 January 1909,Redding, Conn,UCCL08306 InU-Li
SLC,Dorothy Quick,2 January 1909,Redding, Conn,UCCL08305 CU-MARK
SLC,Margaret Blackmer,3 January 1909,Redding, Conn,UCCL08307 CtY-BR
SLC,Unidentified,4 January 1909,New York, N.Y,UCCL08309 MoHi
SLC,Telephone Operators,4 January 1909,Redding, Conn,UCCL08310 ViU
SLC,Unidentified,5 January 1909,New York, N.Y,UCCL12108
SLC,Elizabeth Wallace,5 January 1909,Redding, Conn,UCCL08297 CSmH
SLC,Helen Keller,8 January 1909,Redding, Conn,UCCL10681 NNAF
SLC,Anne S. Macy,8 January 1909,Redding, Conn,UCCL10682 NNAF
SLC,Anne S. Macy,11 January 1909,Redding, Conn,UCCL09387 NNAF
SLC per Isabel V. Lyon,Oliver O. Howard,12 January 1909,Redding, Conn,UCCL08312 THaroL , CU-MARK 2015
SLC,Unidentified,13 January 1909,Redding, Conn,UCCL13575 2014
SLC per Isabel V. Lyon,Archibald Henderson,14 January 1909,Redding, Conn,UCCL08313 NmA2
SLC,Frank C. Lascelles,16 January 1909,Redding, Conn,UCCL13913 2023
SLC,William R. Coe and Mai H. Coe,18 January 1909,Redding, Conn,UCCL08316 CtHMTH
SLC,William D. Howells,18 January 1909,Redding, Conn,UCCL08315 IU-R
SLC per Mary L. Howden,Unidentified,18 January 1909,Redding, Conn,UCCL08334 CtHMTH
SLC per Mary L. Howden,Miss S.,18 January 1909,Redding, Conn,UCCL08318 CtHMTH
Mary L. Howden for SLC,Unidentified,18 January 1909,Redding, Conn,UCCL08335 CtHMTH
Mary L. Howden for SLC,Unidentified,18 January 1909,Redding, Conn,UCCL08327 CtHMTH
Mary L. Howden for SLC,Unidentified,18 January 1909,Redding, Conn,UCCL08326 CtHMTH
Mary L. Howden for SLC,Unidentified,18 January 1909,Redding, Conn,UCCL08325 CtHMTH
Mary L. Howden for SLC,Unidentified,18 January 1909,Redding, Conn,UCCL08324 CtHMTH
Mary L. Howden for SLC,Unidentified,18 January 1909,Redding, Conn,UCCL08323 CtHMTH
Mary L. Howden for SLC,Unidentified,18 January 1909,Redding, Conn,UCCL08322 CtHMTH
Mary L. Howden for SLC,Unidentified,18 January 1909,Redding, Conn,UCCL08321 CtHMTH
Mary L. Howden for SLC,John Larkin,18 January 1909,Redding, Conn,UCCL08320 CtHMTH
Mary L. Howden for SLC,Diana Belais,18 January 1909,Redding, Conn,UCCL08319 CtHMTH
Isabel V. Lyon per Mary L. Howden,Mrs. B.,18 January 1909,Redding, Conn,UCCL08296 CtHMTH
Isabel V. Lyon per Mary L. Howden,Charles J. Langdon,18 January 1909,Redding, Conn,UCCL08331 CtHMTH
SLC per Isabel V. Lyon,Frank C. Lascelles,19 January 1909,Redding, Conn,UCCL08336 NN5
Mary L. Howden for SLC,Unidentified,19 January 1909,Redding, Conn,UCCL08317 CtHMTH
Isabel V. Lyon per Mary L. Howden,Robert P. Porter,19 January 1909,Redding, Conn,UCCL08330 CtHMTH
SLC,L. M. Powers,19–31 January 1909,Redding, Conn,UCCL09734
SLC,L. M. Powers,19–31 January 1909,Redding, Conn,UCCL09723 2023
SLC,L. M. Powers,19–31 January 1909,Redding, Conn,UCCL09736
SLC,L. M. Powers,19–31 January 1909,Redding, Conn,UCCL09735
SLC,L. M. Powers,19–31 January 1909,Redding, Conn,UCCL09733
SLC,L. M. Powers,19–31 January 1909,Redding, Conn,UCCL09732
SLC,L. M. Powers,19–31 January 1909,Redding, Conn,UCCL09731
SLC,L. M. Powers,19–31 January 1909,Redding, Conn,UCCL09730 CU-MARK 2019
SLC,L. M. Powers,19–31 January 1909,Redding, Conn,UCCL09729
SLC,L. M. Powers,19–31 January 1909,Redding, Conn,UCCL09728
SLC,L. M. Powers,19–31 January 1909,Redding, Conn,UCCL09727
SLC,L. M. Powers,19–31 January 1909,Redding, Conn,UCCL09726
SLC,L. M. Powers,19–31 January 1909,Redding, Conn,UCCL09725
SLC,L. M. Powers,19–31 January 1909,Redding, Conn,UCCL09724
SLC,L. M. Powers,19–31 January 1909,Redding, Conn,UCCL09626 CU-MARK
SLC,John Henniker Heaton,28 January 1909,Redding, Conn,UCCL08314 2015
Mary L. Howden for SLC,S. J. Woolf,28 January 1909,Redding, Conn,UCCL08333 CtHMTH
Mary L. Howden for SLC,Mrs. L. T. Guilford,28 January 1909,Redding, Conn,UCCL08328 CtHMTH , CU-MARK
Mary L. Howden for SLC,Unidentified,29 January 1909,Redding, Conn,UCCL08332 CtHMTH
SLC,Sarah Leigh,31 January 1909,Redding, Conn,UCCL09472
SLC,Dorothy Sturgis,31 January 1909,Redding, Conn,UCCL08337 NNC
SLC,Laura H. Frazer,February 1909,Redding, Conn,UCCL09538
Isabel V. Lyon,Archibald Henderson,February 1909,Redding, Conn,UCCL08338 NmA2
SLC,Unidentified,early February 1909,Redding, Conn,UCCL12338 2015
SLC,William R. Coe and Mai H. Coe,3 February 1909,Redding, Conn,UCCL08339 CtHMTH
SLC,Maud W. Littleton,3 February 1909,Redding, Conn,UCCL11932 NElmC
SLC,Louise Paine,3 February 1909,Redding, Conn,UCCL12987 CU-MARK 2022
SLC,Ruth Woods,4 February 1909,Redding, Conn,UCCL08340 WvU
SLC,Margaret Blackmer,5 February 1909,Redding, Conn,UCCL08341 CtY-BR
Clara L. Clemens,Harriet C. Sprague,7 or 14 February 1909,New York, N.Y,UCCL13666 CU-MARK 2016
SLC,Jean Clemens,8 February 1909,Redding, Conn,UCCL08342 MiD
SLC,Margery H. Clinton,9 February 1909,Redding, Conn,UCCL08343 InFw2
SLC,Frances Nunnally,9 February 1909,Redding, Conn,UCCL08344 CSmH
SLC,Unidentified,10 February 1909,Redding, Conn,UCCL08345
SLC,To any friend or acquaintance of mine,10 February 1909,Redding, Conn,UCCL07666 InFw2
Isabel V. Lyon,Louise Paine,10 February 1909,Redding, Conn,UCCL10989 Me4 , CU-MARK 2022
SLC,Beatrice M. Benjamin,11 February 1909,Redding, Conn,UCCL08346 NN3
Ralph W. Ashcroft for SLC,Isabel V. Lyon to Archibald Henderson,13 February 1909,Redding, Conn,UCCL08347 NmA2
SLC,Mary,14 February 1909,Redding, Conn,UCCL09388
Jean Clemens,William Dutcher,15 February 1909,Babylon, N.Y,UCCL08348 NN
Ralph W. Ashcroft for SLC,Archibald Henderson,16 February 1909,Redding, Conn,UCCL08350 NmA2
Isabel V. Lyon,Harriet W. Enders,16 February 1909,Redding, Conn,UCCL10971 CtHMTH
SLC,Frances Nunnally,17 February 1909,Redding, Conn,UCCL08356 CSmH
SLC,Margery H. Clinton,18 February 1909,Redding, Conn,UCCL11241 NPV
SLC,Finley P. Dunne,18 February 1909,Redding, Conn,UCCL11681 InFw2
Clara L. Clemens,Harriet C. Sprague,19 February 1909,New York, N.Y,UCCL13667 CU-MARK 2019
SLC,Margaret Blackmer,20 February 1909,Redding, Conn,UCCL08352 CtY-BR
SLC per Ralph W. Ashcroft,Archibald Henderson,21 February 1909,Redding, Conn,UCCL08353 NmA2
Clara L. Clemens,Harriet C. Sprague,23 February 1909,Redding, Conn,UCCL13665 CU-MARK
Isabel V. Lyon,SLC,24–28 February 1909,Hartford, Conn,UCCL12719 CU-MARK
SLC,John A. Macy,25 February 1909,Redding, Conn,UCCL10685 NNAF
SLC,Henry H. Rogers,25 February 1909,Redding, Conn,UCCL08354 CU-MARK
Isabel V. Lyon,SLC,25 February 1909,Hartford, Conn,UCCL12716 CU-MARK
SLC,Jean Clemens,26 February 1909,Redding, Conn,UCCL08355 CU-MARK
SLC,Margery H. Clinton,28 February 1909,Redding, Conn,UCCL11283 NPV
SLC,Miss Nannie,March 1909,Redding, Conn,UCCL13687 2015
SLC,John H. Johnston,March 1909,Redding, Conn,UCCL12776 MoK2
Clara L. Clemens,Harriet C. Sprague,Before 11 March 1909,New York, N.Y,UCCL13672 CU-MARK
Clara L. Clemens,Harriet C. Sprague,Before 11 March 1909,New York, N.Y,UCCL13671 CU-MARK
